Front,Back,Level,Topic,Tags
Практика 11: складіть речення за правилом «Dativ після ein».,"<div class=""rule""><b>Модель</b><br>Прикметник має -en у всіх родах.</div><div class=""example""><b>Правильно:</b><br>mit einem <b>alten</b> Freund</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Possessiv як ein-слово?,"<div class=""rule""><b>Possessiv як ein-слово</b><br>Mein, dein, sein, ihr, unser, euer, Ihr мають той самий тип.</div><div class=""example""><b>Приклад:</b><br>mein <b>neues</b> Fahrrad</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 12: складіть речення за правилом «Possessiv як ein-слово».,"<div class=""rule""><b>Модель</b><br>Mein, dein, sein, ihr, unser, euer, Ihr мають той самий тип.</div><div class=""example""><b>Правильно:</b><br>mein <b>neues</b> Fahrrad</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Kein як ein-слово?,"<div class=""rule""><b>Kein як ein-слово</b><br>Kein відмінюється як ein; закінчення прикметника змішане.</div><div class=""example""><b>Приклад:</b><br>keine <b>gute</b> Idee</div>",A2,M07 01 Adjective Declension,grammar adjectives declension A2
Практика 13: складіть речення за правилом «Kein як ein-слово».,"<div class=""rule""><b>Модель</b><br>Kein відмінюється як ein; закінчення прикметника змішане.</div><div class=""example""><b>Правильно:</b><br>keine <b>gute</b> Idee</div>",A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Сильне відмінювання?,"<div class=""rule""><b>Сильне відмінювання</b><br>Без артикля прикметник сам показує рід і відмінок.</div><div class=""example""><b>Приклад:</b><br><b>guter</b> Kaffee, <b>kaltes</b> Wasser</div>",B1,M07 01 Adjective Declension,grammar adjectives declension B1
Практика 14: складіть речення за правилом «Сильне відмінювання».,"<div class=""rule""><b>Модель</b><br>Без артикля прикметник сам показує рід і відмінок.</div><div class=""example""><b>Правильно:</b><br><b>guter</b> Kaffee, <b>kaltes</b> Wasser</div>",B1,M07 01 Adjective Declension,grammar adjectives declension retrieval
Nominativ без артикля?,"<div class=""rule""><b>Nominativ без артикля</b><br>Закінчення: -er, -e, -es, plural -e.</div><div class=""example""><b>Приклад:</b><br><b>frischer</b> Kaffee; <b>deutsche</b> Autos</div>",B1,M07 01 Adjective Declension,grammar adjectives declension B1
Практика 15: складіть речення за правилом «Nominativ без артикля».,"<div class=""rule""><b>Модель</b><br>Закінчення: -er, -e, -es, plural -e.</div><div class=""example""><b>Правильно:</b><br><b>frischer</b> Kaffee; <b>deutsche</b> Autos</div>",B1,M07 01 Adjective Declension,grammar adjectives declension retrieval
Akkusativ без артикля?,"<div class=""rule""><b>Akkusativ без артикля</b><br>Masculine -en; feminine -e; neuter -es; plural -e.</div><div class=""example""><b>Приклад:</b><br>Ich trinke <b>kaltes</b> Wasser.</div>",B1,M07 01 Adjective Declension,grammar adjectives declension B1
Практика 16: складіть речення за правилом «Akkusativ без артикля».,"<div class=""rule""><b>Модель</b><br>Masculine -en; feminine -e; neuter -es; plural -e.</div><div class=""example""><b>Правильно:</b><br>Ich trinke <b>kaltes</b> Wasser.</div>",B1,M07 01 Adjective Declension,grammar adjectives declension retrieval
Dativ без артикля?,"<div class=""rule""><b>Dativ без артикля</b><br>Закінчення -em, -er, -em, plural -en.</div><div class=""example""><b>Приклад:</b><br>mit <b>kaltem</b> Wasser</div>",B1,M07 01 Adjective Declension,grammar adjectives declension B1
Практика 17: складіть речення за правилом «Dativ без артикля».,"<div class=""rule""><b>Модель</b><br>Закінчення -em, -er, -em, plural -en.</div><div class=""example""><b>Правильно:</b><br>mit <b>kaltem</b> Wasser</div>",B1,M07 01 Adjective Declension,grammar adjectives declension retrieval
Genitiv без артикля?,"<div class=""rule""><b>Genitiv без артикля</b><br>Типові закінчення -en/-er; конструкції рідші.</div><div class=""example""><b>Приклад:</b><br>wegen <b>starken</b> Regens</div>",B1–B2,M07 01 Adjective Declension,grammar adjectives declension B1 B2
Практика 18: складіть речення за правилом «Genitiv без артикля».,"<div class=""rule""><b>Модель</b><br>Типові закінчення -en/-er; конструкції рідші.</div><div class=""example""><b>Правильно:</b><br>wegen <b>starken</b> Regens</div>",B1–B2,M07 01 Adjective Declension,grammar adjectives declension retrieval
Кілька прикметників?,"<div class=""rule""><b>Кілька прикметників</b><br>У рівноправних прикметників однакові закінчення.</div><div class=""example""><b>Приклад:</b><br>ein <b>helles, ruhiges</b> Zimmer</div>",B1,M07 01 Adjective Declension,grammar adjectives declension B1
Практика 19: складіть речення за правилом «Кілька прикметників».,"<div class=""rule""><b>Модель</b><br>У рівноправних прикметників однакові закінчення.</div><div class=""example""><b>Правильно:</b><br>ein <b>helles, ruhiges</b> Zimmer</div>",B1,M07 01 Adjective Declension,grammar adjectives declension retrieval
Прикметник після sein?,"<div class=""rule""><b>Прикметник після sein</b><br>У предикативній позиції прикметник не відмінюється.</div><div class=""example""><b>Приклад:</b><br>Das Zimmer ist <b>hell</b>.</div>",A1–A2,M07 01 Adjective Declension,grammar adjectives declension A1 A2
Практика 20: складіть речення за правилом «Прикметник після sein».,"<div class=""rule""><b>Модель</b><br>У предикативній позиції прикметник не відмінюється.</div><div class=""example""><b>Правильно:</b><br>Das Zimmer ist <b>hell</b>.</div>",A1–A2,M07 01 Adjective Declension,grammar adjectives declension retrieval
