Front,Back,Level,Topic,Tags
bevor?,"<div class=""rule""><b>bevor</b><br>Подія підрядної частини відбувається пізніше за дію головної.</div><div class=""example""><b>Приклад:</b><br>Ich frühstücke, <b>bevor ich zur Arbeit gehe</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B1
Практика 7: складіть речення за правилом «bevor».,"<div class=""rule""><b>Модель</b><br>Подія підрядної частини відбувається пізніше за дію головної.</div><div class=""example""><b>Правильно:</b><br>Ich frühstücke, <b>bevor ich zur Arbeit gehe</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
nachdem?,"<div class=""rule""><b>nachdem</b><br>Подія підрядної частини відбувається раніше.</div><div class=""example""><b>Приклад:</b><br><b>Nachdem ich gegessen hatte</b>, ging ich spazieren.</div>",B1–B2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B1 B2
Практика 8: складіть речення за правилом «nachdem».,"<div class=""rule""><b>Модель</b><br>Подія підрядної частини відбувається раніше.</div><div class=""example""><b>Правильно:</b><br><b>Nachdem ich gegessen hatte</b>, ging ich spazieren.</div>",B1–B2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
während?,"<div class=""rule""><b>während</b><br>Дві дії відбуваються одночасно або контрастують.</div><div class=""example""><b>Приклад:</b><br>Sie hört Musik, <b>während sie kocht</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B1
Практика 9: складіть речення за правилом «während».,"<div class=""rule""><b>Модель</b><br>Дві дії відбуваються одночасно або контрастують.</div><div class=""example""><b>Правильно:</b><br>Sie hört Musik, <b>während sie kocht</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
seitdem?,"<div class=""rule""><b>seitdem</b><br>Від моменту події до тепер; це сполучник із реченням.</div><div class=""example""><b>Приклад:</b><br><b>Seitdem er hier arbeitet</b>, ist er entspannter.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B1
Практика 10: складіть речення за правилом «seitdem».,"<div class=""rule""><b>Модель</b><br>Від моменту події до тепер; це сполучник із реченням.</div><div class=""example""><b>Правильно:</b><br><b>Seitdem er hier arbeitet</b>, ist er entspannter.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
bis?,"<div class=""rule""><b>bis</b><br>Позначає кінцеву межу в часі.</div><div class=""example""><b>Приклад:</b><br>Warte hier, <b>bis ich zurückkomme</b>.</div>",A2–B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate A2 B1
Практика 11: складіть речення за правилом «bis».,"<div class=""rule""><b>Модель</b><br>Позначає кінцеву межу в часі.</div><div class=""example""><b>Правильно:</b><br>Warte hier, <b>bis ich zurückkomme</b>.</div>",A2–B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
sobald?,"<div class=""rule""><b>sobald</b><br>Одразу після виконання умови.</div><div class=""example""><b>Приклад:</b><br>Ich rufe dich an, <b>sobald ich ankomme</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B1
Практика 12: складіть речення за правилом «sobald».,"<div class=""rule""><b>Модель</b><br>Одразу після виконання умови.</div><div class=""example""><b>Правильно:</b><br>Ich rufe dich an, <b>sobald ich ankomme</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
solange?,"<div class=""rule""><b>solange</b><br>Увесь час, поки виконується умова.</div><div class=""example""><b>Приклад:</b><br>Du kannst bleiben, <b>solange du möchtest</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B1
Практика 13: складіть речення за правилом «solange».,"<div class=""rule""><b>Модель</b><br>Увесь час, поки виконується умова.</div><div class=""example""><b>Правильно:</b><br>Du kannst bleiben, <b>solange du möchtest</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
falls?,"<div class=""rule""><b>falls</b><br>Можлива, але непевна умова.</div><div class=""example""><b>Приклад:</b><br><b>Falls du Hilfe brauchst</b>, ruf mich an.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B1
Практика 14: складіть речення за правилом «falls».,"<div class=""rule""><b>Модель</b><br>Можлива, але непевна умова.</div><div class=""example""><b>Правильно:</b><br><b>Falls du Hilfe brauchst</b>, ruf mich an.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
damit?,"<div class=""rule""><b>damit</b><br>Мета; підмети можуть бути різними.</div><div class=""example""><b>Приклад:</b><br>Ich spreche langsam, <b>damit alle mich verstehen</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B1
Практика 15: складіть речення за правилом «damit».,"<div class=""rule""><b>Модель</b><br>Мета; підмети можуть бути різними.</div><div class=""example""><b>Правильно:</b><br>Ich spreche langsam, <b>damit alle mich verstehen</b>.</div>",B1,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
sodass?,"<div class=""rule""><b>sodass</b><br>Наслідок попередньої ситуації.</div><div class=""example""><b>Приклад:</b><br>Es schneite stark, <b>sodass der Zug ausfiel</b>.</div>",B1–B2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B1 B2
Практика 16: складіть речення за правилом «sodass».,"<div class=""rule""><b>Модель</b><br>Наслідок попередньої ситуації.</div><div class=""example""><b>Правильно:</b><br>Es schneite stark, <b>sodass der Zug ausfiel</b>.</div>",B1–B2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
indem?,"<div class=""rule""><b>indem</b><br>Спосіб досягнення результату: тим, що.</div><div class=""example""><b>Приклад:</b><br>Man lernt, <b>indem man regelmäßig übt</b>.</div>",B2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate B2
Практика 17: складіть речення за правилом «indem».,"<div class=""rule""><b>Модель</b><br>Спосіб досягнення результату: тим, що.</div><div class=""example""><b>Правильно:</b><br>Man lernt, <b>indem man regelmäßig übt</b>.</div>",B2,M04 01 Subordinating Conjunctions,grammar conjunctions subordinate retrieval
