Front,Back,Level,Topic,Tags
Практика 13: складіть речення за правилом «sich lassen + Infinitiv».,"<div class=""rule""><b>Модель</b><br>Означає можливість виконання дії.</div><div class=""example""><b>Правильно:</b><br>Das Problem <b>lässt sich lösen</b>.</div>",B2,M06 02 Infinitive Constructions,grammar infinitive retrieval
sehen + Infinitiv?,"<div class=""rule""><b>sehen + Infinitiv</b><br>Після дієслова сприйняття інфінітив без zu.</div><div class=""example""><b>Приклад:</b><br>Ich <b>sehe die Kinder spielen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 14: складіть речення за правилом «sehen + Infinitiv».,"<div class=""rule""><b>Модель</b><br>Після дієслова сприйняття інфінітив без zu.</div><div class=""example""><b>Правильно:</b><br>Ich <b>sehe die Kinder spielen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
hören + Infinitiv?,"<div class=""rule""><b>hören + Infinitiv</b><br>Після hören інфінітив без zu.</div><div class=""example""><b>Приклад:</b><br>Wir <b>hören jemanden lachen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 15: складіть речення за правилом «hören + Infinitiv».,"<div class=""rule""><b>Модель</b><br>Після hören інфінітив без zu.</div><div class=""example""><b>Правильно:</b><br>Wir <b>hören jemanden lachen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
Інфінітивна група з комою?,"<div class=""rule""><b>Інфінітивна група з комою</b><br>Кома обов'язкова з um, ohne, statt та часто прояснює інші групи.</div><div class=""example""><b>Приклад:</b><br>Er spart, <b>um ein Auto zu kaufen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 16: складіть речення за правилом «Інфінітивна група з комою».,"<div class=""rule""><b>Модель</b><br>Кома обов'язкова з um, ohne, statt та часто прояснює інші групи.</div><div class=""example""><b>Правильно:</b><br>Er spart, <b>um ein Auto zu kaufen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
haben + zu + Infinitiv?,"<div class=""rule""><b>haben + zu + Infinitiv</b><br>Виражає необхідність для активного підмета.</div><div class=""example""><b>Приклад:</b><br>Ich <b>habe noch viel zu erledigen</b>.</div>",B2,M06 02 Infinitive Constructions,grammar infinitive B2
Практика 17: складіть речення за правилом «haben + zu + Infinitiv».,"<div class=""rule""><b>Модель</b><br>Виражає необхідність для активного підмета.</div><div class=""example""><b>Правильно:</b><br>Ich <b>habe noch viel zu erledigen</b>.</div>",B2,M06 02 Infinitive Constructions,grammar infinitive retrieval
sein + zu + Infinitiv?,"<div class=""rule""><b>sein + zu + Infinitiv</b><br>Виражає необхідність або можливість у пасивному значенні.</div><div class=""example""><b>Приклад:</b><br>Der Antrag <b>ist heute einzureichen</b>.</div>",B2,M06 02 Infinitive Constructions,grammar infinitive B2
Практика 18: складіть речення за правилом «sein + zu + Infinitiv».,"<div class=""rule""><b>Модель</b><br>Виражає необхідність або можливість у пасивному значенні.</div><div class=""example""><b>Правильно:</b><br>Der Antrag <b>ist heute einzureichen</b>.</div>",B2,M06 02 Infinitive Constructions,grammar infinitive retrieval
Infinitiv без zu після modal?,"<div class=""rule""><b>Infinitiv без zu після modal</b><br>Після модальних дієслів zu не ставимо.</div><div class=""example""><b>Приклад:</b><br>Ich muss morgen <b>arbeiten</b>.</div>",A1–A2,M06 02 Infinitive Constructions,grammar infinitive A1 A2
Практика 19: складіть речення за правилом «Infinitiv без zu після modal».,"<div class=""rule""><b>Модель</b><br>Після модальних дієслів zu не ставимо.</div><div class=""example""><b>Правильно:</b><br>Ich muss morgen <b>arbeiten</b>.</div>",A1–A2,M06 02 Infinitive Constructions,grammar infinitive retrieval
Infinitiv без zu після werden?,"<div class=""rule""><b>Infinitiv без zu після werden</b><br>У Futur I смисловий інфінітив уживається без zu.</div><div class=""example""><b>Приклад:</b><br>Sie wird später <b>anrufen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive B1
Практика 20: складіть речення за правилом «Infinitiv без zu після werden».,"<div class=""rule""><b>Модель</b><br>У Futur I смисловий інфінітив уживається без zu.</div><div class=""example""><b>Правильно:</b><br>Sie wird später <b>anrufen</b>.</div>",B1,M06 02 Infinitive Constructions,grammar infinitive retrieval
