Front,Back,Level,Topic,Tags
Dativ feminine?,"<div class=""rule""><b>Dativ feminine</b><br>Форма der.</div><div class=""example""><b>Приклад:</b><br>Die Kollegin, <b>der ich vertraue</b>, ist erfahren.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 10: складіть речення за правилом «Dativ feminine».,"<div class=""rule""><b>Модель</b><br>Форма der.</div><div class=""example""><b>Правильно:</b><br>Die Kollegin, <b>der ich vertraue</b>, ist erfahren.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
Dativ plural?,"<div class=""rule""><b>Dativ plural</b><br>Форма denen; іменник у підрядній частині уже не повторюємо.</div><div class=""example""><b>Приклад:</b><br>Die Kinder, <b>denen ich helfe</b>, lernen Deutsch.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 11: складіть речення за правилом «Dativ plural».,"<div class=""rule""><b>Модель</b><br>Форма denen; іменник у підрядній частині уже не повторюємо.</div><div class=""example""><b>Правильно:</b><br>Die Kinder, <b>denen ich helfe</b>, lernen Deutsch.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
Genitiv dessen?,"<div class=""rule""><b>Genitiv dessen</b><br>Dessen означає «чий» для masculine/neuter.</div><div class=""example""><b>Приклад:</b><br>Der Mann, <b>dessen Auto kaputt ist</b>, wartet.</div>",B2,M09 01 Relative Clauses,grammar relative clauses B2
Практика 12: складіть речення за правилом «Genitiv dessen».,"<div class=""rule""><b>Модель</b><br>Dessen означає «чий» для masculine/neuter.</div><div class=""example""><b>Правильно:</b><br>Der Mann, <b>dessen Auto kaputt ist</b>, wartet.</div>",B2,M09 01 Relative Clauses,grammar relative clauses retrieval
Genitiv deren?,"<div class=""rule""><b>Genitiv deren</b><br>Deren означає «чий» для feminine/plural.</div><div class=""example""><b>Приклад:</b><br>Die Frau, <b>deren Sohn studiert</b>, ist Ärztin.</div>",B2,M09 01 Relative Clauses,grammar relative clauses B2
Практика 13: складіть речення за правилом «Genitiv deren».,"<div class=""rule""><b>Модель</b><br>Deren означає «чий» для feminine/plural.</div><div class=""example""><b>Правильно:</b><br>Die Frau, <b>deren Sohn studiert</b>, ist Ärztin.</div>",B2,M09 01 Relative Clauses,grammar relative clauses retrieval
Прийменник + relative pronoun?,"<div class=""rule""><b>Прийменник + relative pronoun</b><br>Прийменник стоїть перед займенником і визначає відмінок.</div><div class=""example""><b>Приклад:</b><br>Das ist der Kollege, <b>mit dem ich arbeite</b>.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 14: складіть речення за правилом «Прийменник + relative pronoun».,"<div class=""rule""><b>Модель</b><br>Прийменник стоїть перед займенником і визначає відмінок.</div><div class=""example""><b>Правильно:</b><br>Das ist der Kollege, <b>mit dem ich arbeite</b>.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
für den / auf die?,"<div class=""rule""><b>für den / auf die</b><br>Akkusativ після für та напрямкового/керованого auf.</div><div class=""example""><b>Приклад:</b><br>Der Kurs, <b>für den ich mich angemeldet habe</b>, beginnt morgen.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 15: складіть речення за правилом «für den / auf die».,"<div class=""rule""><b>Модель</b><br>Akkusativ після für та напрямкового/керованого auf.</div><div class=""example""><b>Правильно:</b><br>Der Kurs, <b>für den ich mich angemeldet habe</b>, beginnt morgen.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
bei denen?,"<div class=""rule""><b>bei denen</b><br>Bei вимагає Dativ plural denen.</div><div class=""example""><b>Приклад:</b><br>Die Firmen, <b>bei denen er gearbeitet hat</b>, sind international.</div>",B1–B2,M09 01 Relative Clauses,grammar relative clauses B1 B2
Практика 16: складіть речення за правилом «bei denen».,"<div class=""rule""><b>Модель</b><br>Bei вимагає Dativ plural denen.</div><div class=""example""><b>Правильно:</b><br>Die Firmen, <b>bei denen er gearbeitet hat</b>, sind international.</div>",B1–B2,M09 01 Relative Clauses,grammar relative clauses retrieval
was після alles/etwas/nichts?,"<div class=""rule""><b>was після alles/etwas/nichts</b><br>Після неозначених займенників уживаємо was.</div><div class=""example""><b>Приклад:</b><br>Alles, <b>was du brauchst</b>, liegt hier.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 17: складіть речення за правилом «was після alles/etwas/nichts».,"<div class=""rule""><b>Модель</b><br>Після неозначених займенників уживаємо was.</div><div class=""example""><b>Правильно:</b><br>Alles, <b>was du brauchst</b>, liegt hier.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
was після das?,"<div class=""rule""><b>was після das</b><br>Після узагальненого das можливе was.</div><div class=""example""><b>Приклад:</b><br>Das, <b>was er sagt</b>, stimmt.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 18: складіть речення за правилом «was після das».,"<div class=""rule""><b>Модель</b><br>Після узагальненого das можливе was.</div><div class=""example""><b>Правильно:</b><br>Das, <b>was er sagt</b>, stimmt.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
wo для місця?,"<div class=""rule""><b>wo для місця</b><br>Wo нормативно можливе після назви місця або прислівника місця.</div><div class=""example""><b>Приклад:</b><br>Berlin, <b>wo ich studiert habe</b>, hat sich verändert.</div>",B1–B2,M09 01 Relative Clauses,grammar relative clauses B1 B2
Практика 19: складіть речення за правилом «wo для місця».,"<div class=""rule""><b>Модель</b><br>Wo нормативно можливе після назви місця або прислівника місця.</div><div class=""example""><b>Правильно:</b><br>Berlin, <b>wo ich studiert habe</b>, hat sich verändert.</div>",B1–B2,M09 01 Relative Clauses,grammar relative clauses retrieval
Коми в Relativsatz?,"<div class=""rule""><b>Коми в Relativsatz</b><br>Relativsatz завжди відокремлюється комами.</div><div class=""example""><b>Приклад:</b><br>Mein Bruder, <b>der in Wien lebt</b>, kommt morgen.</div>",B1,M09 01 Relative Clauses,grammar relative clauses B1
Практика 20: складіть речення за правилом «Коми в Relativsatz».,"<div class=""rule""><b>Модель</b><br>Relativsatz завжди відокремлюється комами.</div><div class=""example""><b>Правильно:</b><br>Mein Bruder, <b>der in Wien lebt</b>, kommt morgen.</div>",B1,M09 01 Relative Clauses,grammar relative clauses retrieval
