Front,Back,Level,Topic,Tags
Який відмінок вимагає дієслово <b>vertrauen</b>?,"<div class=""rule""><b>Dativ</b><br>довіряти</div><div class=""example""><b>Приклад:</b><br>Ich vertraue <b>dir</b>.</div>",A2–B1,03 Dativ,grammar cases dativ verb
Який відмінок вимагає дієслово <b>gratulieren</b>?,"<div class=""rule""><b>Dativ</b><br>вітати</div><div class=""example""><b>Приклад:</b><br>Wir gratulieren <b>ihm</b>.</div>",A2–B1,03 Dativ,grammar cases dativ verb
Який відмінок вимагає дієслово <b>passen</b>?,"<div class=""rule""><b>Dativ</b><br>пасувати / підходити</div><div class=""example""><b>Приклад:</b><br>Die Jacke passt <b>mir</b>.</div>",A2–B1,03 Dativ,grammar cases dativ verb
Який відмінок вимагає дієслово <b>schmecken</b>?,"<div class=""rule""><b>Dativ</b><br>смакувати</div><div class=""example""><b>Приклад:</b><br>Die Suppe schmeckt <b>mir</b>.</div>",A2–B1,03 Dativ,grammar cases dativ verb
Ich helfe ___ Mann. (der),"<div class=""rule""><b>Відповідь</b><br><b>dem Mann</b></div><div class=""example""><b>Приклад:</b><br>helfen → Dativ.</div>",A2,03 Dativ,grammar cases dativ exercise
Ich danke ___. (du),"<div class=""rule""><b>Відповідь</b><br><b>dir</b></div><div class=""example""><b>Приклад:</b><br>danken → Dativ; du → dir.</div>",A2,03 Dativ,grammar cases dativ exercise
Das gehört ___. (er),"<div class=""rule""><b>Відповідь</b><br><b>ihm</b></div><div class=""example""><b>Приклад:</b><br>gehören → Dativ; er → ihm.</div>",A2,03 Dativ,grammar cases dativ exercise
Wir helfen ___ Kindern. (die),"<div class=""rule""><b>Відповідь</b><br><b>den Kindern</b></div><div class=""example""><b>Приклад:</b><br>Dativ Plural: den + -n.</div>",A2,03 Dativ,grammar cases dativ exercise
Die Jacke passt ___. (ich),"<div class=""rule""><b>Відповідь</b><br><b>mir</b></div><div class=""example""><b>Приклад:</b><br>passen → Dativ; ich → mir.</div>",A2,03 Dativ,grammar cases dativ exercise
Ich antworte ___ Lehrerin. (die),"<div class=""rule""><b>Відповідь</b><br><b>der Lehrerin</b></div><div class=""example""><b>Приклад:</b><br>antworten → Dativ.</div>",A2,03 Dativ,grammar cases dativ exercise
